phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,Screenshot Not Captured or Image is Blank,Screenshot Captured and Domain Name is Visible,Model Result
9089691,https://relaismondial-aide.info/,http://www.phishtank.com/phish_detail.php?phish_id=9089691,2025-05-07T11:08:49+00:00,yes,2025-05-07T11:11:48+00:00,yes,Other,1,,
9089690,https://relaismondial-aide.info/check/calcul.php,http://www.phishtank.com/phish_detail.php?phish_id=9089690,2025-05-07T11:08:38+00:00,yes,2025-05-07T11:11:48+00:00,yes,Other,1,,
9089688,https://diamondbk.online,http://www.phishtank.com/phish_detail.php?phish_id=9089688,2025-05-07T11:04:16+00:00,yes,2025-05-07T11:11:48+00:00,yes,Other,,1,
9089684,https://relaismondial-aide.com/,http://www.phishtank.com/phish_detail.php?phish_id=9089684,2025-05-07T10:55:48+00:00,yes,2025-05-07T11:02:35+00:00,yes,Other,1,,
9089683,https://relaismondial-aide.com/check/calcul.php,http://www.phishtank.com/phish_detail.php?phish_id=9089683,2025-05-07T10:55:37+00:00,yes,2025-05-07T11:02:35+00:00,yes,Other,1,,
9089682,https://case-1018686750539.pihayy.com/,http://www.phishtank.com/phish_detail.php?phish_id=9089682,2025-05-07T10:52:51+00:00,yes,2025-05-07T11:02:35+00:00,yes,Facebook,,1,
9089681,https://pipkobp.com/Pk/entree/fbcee1dca046505d774c9b57743dfda5/login,http://www.phishtank.com/phish_detail.php?phish_id=9089681,2025-05-07T10:44:36+00:00,yes,2025-05-07T10:51:39+00:00,yes,Other,,1,1
9089680,https://allegrolokalnie.kategorie-inne-4182374.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=9089680,2025-05-07T10:34:20+00:00,yes,2025-05-07T10:41:58+00:00,yes,Allegro,,1,
9089679,http://jjpessky.weebly.com,http://www.phishtank.com/phish_detail.php?phish_id=9089679,2025-05-07T10:32:31+00:00,yes,2025-05-07T10:41:58+00:00,yes,Other,,1,
9089678,https://relais-fr-mondial.com/,http://www.phishtank.com/phish_detail.php?phish_id=9089678,2025-05-07T10:29:23+00:00,yes,2025-05-07T10:31:49+00:00,yes,Other,1,,
9089677,https://relais-fr-mondial.com/check/calcul.php,http://www.phishtank.com/phish_detail.php?phish_id=9089677,2025-05-07T10:29:12+00:00,yes,2025-05-07T10:31:49+00:00,yes,Other,1,,
9089676,https://8mkagdkkig0p24zw5a.ijxcdgklbuv.es/PKEa7lTi!gAcEysXE/,http://www.phishtank.com/phish_detail.php?phish_id=9089676,2025-05-07T10:15:34+00:00,yes,2025-05-07T10:21:56+00:00,yes,Other,1,,
9089675,https://zejqv.gmyvngjw.es/fzwQpYQE@qAWuwHl/,http://www.phishtank.com/phish_detail.php?phish_id=9089675,2025-05-07T10:15:17+00:00,yes,2025-05-07T10:21:56+00:00,yes,Other,1,,
9089672,https://tadeo.co.ke/ch/,http://www.phishtank.com/phish_detail.php?phish_id=9089672,2025-05-07T10:03:20+00:00,yes,2025-05-07T10:11:44+00:00,yes,Other,,1,1
9089671,https://bitly.cx/L4RWz,http://www.phishtank.com/phish_detail.php?phish_id=9089671,2025-05-07T10:02:07+00:00,yes,2025-05-07T10:11:44+00:00,yes,Other,1,,
9089670,http://allegro.pl-65932.cyou,http://www.phishtank.com/phish_detail.php?phish_id=9089670,2025-05-07T10:01:52+00:00,yes,2025-05-07T10:11:44+00:00,yes,Allegro,1,,
9089664,http://6fsw53d5v6qdg8b6vqefs.misconfused.org,http://www.phishtank.com/phish_detail.php?phish_id=9089664,2025-05-07T09:51:33+00:00,yes,2025-05-07T10:03:18+00:00,yes,Other,1,,
9089663,https://help-suite-app.github.io/US/,http://www.phishtank.com/phish_detail.php?phish_id=9089663,2025-05-07T09:48:57+00:00,yes,2025-05-07T09:51:48+00:00,yes,Other,1,,
9089660,https://asisntur.heit.uk/rest/,http://www.phishtank.com/phish_detail.php?phish_id=9089660,2025-05-07T09:42:51+00:00,yes,2025-05-07T09:51:48+00:00,yes,Other,1,,
9089657,http://advartiso.com/Zn3pk,http://www.phishtank.com/phish_detail.php?phish_id=9089657,2025-05-07T09:26:03+00:00,yes,2025-05-07T09:32:00+00:00,yes,Other,,1,1
9089653,http://allegrolokalnie.pl-oferta9910294851845230.icu,http://www.phishtank.com/phish_detail.php?phish_id=9089653,2025-05-07T09:11:17+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,1,,
9089652,http://allegro.pl-oferta9910294851845230.icu,http://www.phishtank.com/phish_detail.php?phish_id=9089652,2025-05-07T09:11:06+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,1,,
9089651,https://allegrolokalnie.pl-16111.cfd,http://www.phishtank.com/phish_detail.php?phish_id=9089651,2025-05-07T09:11:05+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,,1,
9089650,http://allegrolokainie.pl-16111.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9089650,2025-05-07T09:10:53+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,,1,1
9089649,https://allegrolokalnie.id-721902.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9089649,2025-05-07T09:10:49+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,1,,
9089648,https://allegro.pl-16111.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9089648,2025-05-07T09:10:40+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,,1,1
9089647,https://allegrolokalnie.pl-16111.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9089647,2025-05-07T09:10:39+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,1,,
9089646,https://allegrolokalne.pl-16111.cfd,http://www.phishtank.com/phish_detail.php?phish_id=9089646,2025-05-07T09:10:38+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,1,,
9089645,http://allegro.pl-16111.cfd,http://www.phishtank.com/phish_detail.php?phish_id=9089645,2025-05-07T09:10:34+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,,1,
9089643,http://allegrolokalnie.pl-65932.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9089643,2025-05-07T09:10:30+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,1,,
9089644,http://allegrolokalnie.pl-firmowe-oferty-id91533.icu,http://www.phishtank.com/phish_detail.php?phish_id=9089644,2025-05-07T09:10:30+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,,1,
9089642,http://allegro.pl-65932.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9089642,2025-05-07T09:10:25+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,1,,
9089639,http://allegrolokalnie.oferta-3650864.icu,http://www.phishtank.com/phish_detail.php?phish_id=9089639,2025-05-07T09:10:11+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,1,,
9089636,https://allegrolokalnie.pl-e-zakupy24h.icu/oferta/logitech-g29-komplet?id=436623381,http://www.phishtank.com/phish_detail.php?phish_id=9089636,2025-05-07T09:10:00+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,1,,
9089637,http://allegrolokalnie.pl-92824337.sbs,http://www.phishtank.com/phish_detail.php?phish_id=9089637,2025-05-07T09:10:00+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,1,,
9089632,http://allegrolokalnie.pll-kategoria217465974.icu,http://www.phishtank.com/phish_detail.php?phish_id=9089632,2025-05-07T09:09:36+00:00,yes,2025-05-07T09:21:42+00:00,yes,Allegro,1,,
9089629,http://637cgvd.cc/,http://www.phishtank.com/phish_detail.php?phish_id=9089629,2025-05-07T09:04:52+00:00,yes,2025-05-07T09:11:43+00:00,yes,Allegro,1,,
9089628,https://jechoisislelocker.com/,http://www.phishtank.com/phish_detail.php?phish_id=9089628,2025-05-07T09:02:00+00:00,yes,2025-05-07T09:11:43+00:00,yes,Other,1,,
9089627,https://jechoisislelocker.com/pac/calcul.php,http://www.phishtank.com/phish_detail.php?phish_id=9089627,2025-05-07T09:01:27+00:00,yes,2025-05-07T09:11:43+00:00,yes,Other,1,,
9089624,http://allegrolokalnie.pl-65932.cyou,http://www.phishtank.com/phish_detail.php?phish_id=9089624,2025-05-07T08:56:16+00:00,yes,2025-05-07T09:02:54+00:00,yes,Allegro,1,,